FactCallCenterID,DateKey,WageType,Shift,LevelOneOperators,LevelTwoOperators,TotalOperators,Calls,AutomaticResponses,Orders,IssuesRaised,AverageTimePerIssue,ServiceGrade,Date
1,20140501,weekday,AM,2,7,9,405,283,341,2,79,0.03,2014-05-01 00:00:00.000
2,20140501,weekday,PM1,2,10,12,389,256,251,1,94,0.12,2014-05-01 00:00:00.000
3,20140501,weekday,PM2,3,11,14,358,268,255,1,92,0.14,2014-05-01 00:00:00.000
4,20140501,weekday,midnight,1,4,5,219,140,162,2,73,0.08,2014-05-01 00:00:00.000
5,20140502,weekday,AM,2,8,10,264,170,189,1,58,0.09,2014-05-02 00:00:00.000
6,20140502,weekday,PM1,3,10,13,539,338,381,1,83,0.08,2014-05-02 00:00:00.000
7,20140502,weekday,PM2,3,12,15,469,308,307,2,85,0.16,2014-05-02 00:00:00.000
8,20140502,weekday,midnight,1,3,4,178,116,136,2,68,0.04,2014-05-02 00:00:00.000
9,20140503,holiday,AM,2,8,10,416,279,274,1,84,0.12,2014-05-03 00:00:00.000
10,20140503,holiday,PM1,3,9,12,407,229,266,0,79,0.1,2014-05-03 00:00:00.000
11,20140503,holiday,PM2,3,10,13,290,211,178,1,70,0.16,2014-05-03 00:00:00.000
12,20140503,holiday,midnight,1,4,5,223,96,130,2,76,0.13,2014-05-03 00:00:00.000
13,20140504,holiday,AM,2,8,10,376,262,265,2,64,0.1,2014-05-04 00:00:00.000
14,20140504,holiday,PM1,3,10,13,392,231,283,2,70,0.06,2014-05-04 00:00:00.000
15,20140504,holiday,PM2,4,12,16,623,476,427,2,81,0.05,2014-05-04 00:00:00.000
16,20140504,holiday,midnight,1,6,7,225,111,149,2,94,0.11,2014-05-04 00:00:00.000
17,20140505,holiday,AM,1,6,7,245,163,147,1,82,0.16,2014-05-05 00:00:00.000
18,20140505,holiday,PM1,2,9,11,335,215,271,0,72,0.05,2014-05-05 00:00:00.000
19,20140505,holiday,PM2,3,9,12,400,273,280,2,73,0.09,2014-05-05 00:00:00.000
20,20140505,holiday,midnight,0,3,3,98,65,64,1,87,0.12,2014-05-05 00:00:00.000
21,20140506,weekday,AM,2,8,10,333,270,247,1,93,0.08,2014-05-06 00:00:00.000
22,20140506,weekday,PM1,3,10,13,476,338,318,2,74,0.1,2014-05-06 00:00:00.000
23,20140506,weekday,PM2,4,11,15,416,310,314,1,77,0.11,2014-05-06 00:00:00.000
24,20140506,weekday,midnight,1,3,4,105,85,75,2,82,0.08,2014-05-06 00:00:00.000
25,20140507,weekday,AM,1,8,9,419,291,308,2,85,0.11,2014-05-07 00:00:00.000
26,20140507,weekday,PM1,2,10,12,401,266,248,2,95,0.1,2014-05-07 00:00:00.000
27,20140507,weekday,PM2,4,12,16,564,415,379,2,81,0.09,2014-05-07 00:00:00.000
28,20140507,weekday,midnight,1,4,5,203,124,136,0,62,0.09,2014-05-07 00:00:00.000
29,20140508,weekday,AM,2,8,10,373,229,253,0,93,0.14,2014-05-08 00:00:00.000
30,20140508,weekday,PM1,3,9,12,408,252,257,0,87,0.17,2014-05-08 00:00:00.000
31,20140508,weekday,PM2,3,11,14,593,258,355,3,81,0.11,2014-05-08 00:00:00.000
32,20140508,weekday,midnight,1,4,5,196,208,145,1,96,0.1,2014-05-08 00:00:00.000
33,20140509,weekday,AM,2,7,9,325,246,243,2,103,0.12,2014-05-09 00:00:00.000
34,20140509,weekday,PM1,3,9,12,308,162,217,1,73,0.07,2014-05-09 00:00:00.000
35,20140509,weekday,PM2,3,12,15,532,494,366,1,87,0.1,2014-05-09 00:00:00.000
36,20140509,weekday,midnight,0,4,4,140,84,91,1,65,0.12,2014-05-09 00:00:00.000
37,20140510,weekday,AM,2,7,9,234,172,156,2,66,0.13,2014-05-10 00:00:00.000
38,20140510,weekday,PM1,3,9,12,305,157,219,2,84,0.08,2014-05-10 00:00:00.000
39,20140510,weekday,PM2,4,11,15,452,293,283,2,70,0.09,2014-05-10 00:00:00.000
40,20140510,weekday,midnight,1,4,5,170,140,114,1,113,0.15,2014-05-10 00:00:00.000
41,20140511,holiday,AM,2,8,10,215,142,152,1,84,0.09,2014-05-11 00:00:00.000
42,20140511,holiday,PM1,2,10,12,382,246,278,3,69,0.04,2014-05-11 00:00:00.000
43,20140511,holiday,PM2,4,14,18,593,408,436,2,61,0.1,2014-05-11 00:00:00.000
44,20140511,holiday,midnight,2,6,8,352,235,250,2,70,0.06,2014-05-11 00:00:00.000
45,20140512,holiday,AM,2,7,9,209,154,144,1,85,0.13,2014-05-12 00:00:00.000
46,20140512,holiday,PM1,3,10,13,617,409,393,1,86,0.2,2014-05-12 00:00:00.000
