SurveyResponseKey,DateKey,CustomerKey,ProductCategoryKey,EnglishProductCategoryName,ProductSubcategoryKey,EnglishProductSubcategoryName,Date
1,20120309,11001,3,Clothing,24,Tights,2012-03-09 00:00:00.000
2,20120309,11001,4,Accessories,30,Fenders,2012-03-09 00:00:00.000
3,20120309,11001,4,Accessories,32,Hydration Packs,2012-03-09 00:00:00.000
4,20120424,11017,3,Clothing,22,Shorts,2012-04-24 00:00:00.000
5,20120424,11017,4,Accessories,28,Bottles and Cages,2012-04-24 00:00:00.000
6,20120406,11019,4,Accessories,34,Locks,2012-04-06 00:00:00.000
7,20120414,11026,4,Accessories,28,Bottles and Cages,2012-04-14 00:00:00.000
8,20120310,11033,3,Clothing,21,Jerseys,2012-03-10 00:00:00.000
9,20120310,11033,3,Clothing,23,Socks,2012-03-10 00:00:00.000
10,20120310,11033,3,Clothing,24,Tights,2012-03-10 00:00:00.000
11,20120303,11037,4,Accessories,31,Helmets,2012-03-03 00:00:00.000
12,20120303,11037,4,Accessories,32,Hydration Packs,2012-03-03 00:00:00.000
13,20120311,11047,3,Clothing,22,Shorts,2012-03-11 00:00:00.000
14,20120311,11047,3,Clothing,23,Socks,2012-03-11 00:00:00.000
15,20120311,11047,4,Accessories,30,Fenders,2012-03-11 00:00:00.000
16,20120426,11048,4,Accessories,32,Hydration Packs,2012-04-26 00:00:00.000
17,20120426,11048,4,Accessories,36,Pumps,2012-04-26 00:00:00.000
18,20120312,11054,3,Clothing,18,Bib-Shorts,2012-03-12 00:00:00.000
19,20120408,11057,4,Accessories,36,Pumps,2012-04-08 00:00:00.000
20,20120417,11070,4,Accessories,29,Cleaners,2012-04-17 00:00:00.000
21,20120417,11070,4,Accessories,31,Helmets,2012-04-17 00:00:00.000
22,20120405,11078,4,Accessories,31,Helmets,2012-04-05 00:00:00.000
23,20120314,11079,3,Clothing,21,Jerseys,2012-03-14 00:00:00.000
24,20120314,11079,4,Accessories,27,Bike Stands,2012-03-14 00:00:00.000
25,20120314,11079,4,Accessories,37,Tires and Tubes,2012-03-14 00:00:00.000
26,20120326,11109,3,Clothing,25,Vests,2012-03-26 00:00:00.000
27,20120309,11110,3,Clothing,21,Jerseys,2012-03-09 00:00:00.000
28,20120324,11111,3,Clothing,20,Gloves,2012-03-24 00:00:00.000
29,20120324,11111,4,Accessories,30,Fenders,2012-03-24 00:00:00.000
30,20120324,11111,4,Accessories,32,Hydration Packs,2012-03-24 00:00:00.000
31,20120427,11123,4,Accessories,31,Helmets,2012-04-27 00:00:00.000
32,20120427,11123,4,Accessories,33,Lights,2012-04-27 00:00:00.000
33,20120427,11123,4,Accessories,37,Tires and Tubes,2012-04-27 00:00:00.000
34,20120325,11125,4,Accessories,36,Pumps,2012-03-25 00:00:00.000
35,20120427,11132,3,Clothing,23,Socks,2012-04-27 00:00:00.000
36,20120321,11142,3,Clothing,19,Caps,2012-03-21 00:00:00.000
37,20120410,11150,3,Clothing,21,Jerseys,2012-04-10 00:00:00.000
38,20120410,11150,4,Accessories,31,Helmets,2012-04-10 00:00:00.000
39,20120304,11223,4,Accessories,35,Panniers,2012-03-04 00:00:00.000
40,20120303,11276,3,Clothing,23,Socks,2012-03-03 00:00:00.000
41,20120303,11276,4,Accessories,34,Locks,2012-03-03 00:00:00.000
42,20120303,11287,3,Clothing,24,Tights,2012-03-03 00:00:00.000
43,20120303,11287,4,Accessories,33,Lights,2012-03-03 00:00:00.000
44,20120307,11300,4,Accessories,31,Helmets,2012-03-07 00:00:00.000
45,20120325,11316,3,Clothing,25,Vests,2012-03-25 00:00:00.000
46,20120325,11316,4,Accessories,28,Bottles and Cages,2012-03-25 00:00:00.000
47,20120325,11316,4,Accessories,34,Locks,2012-03-25 00:00:00.000
