SalesOrderNumber,SalesOrderLineNumber,SalesReasonKey
SO43697,1,5
SO43697,1,9
SO43702,1,5
SO43702,1,9
SO43703,1,5
SO43703,1,9
SO43706,1,5
SO43706,1,9
SO43707,1,5
SO43707,1,9
SO43709,1,5
SO43709,1,9
SO43710,1,5
SO43710,1,9
SO43711,1,5
SO43711,1,9
SO43712,1,5
SO43712,1,9
SO43713,1,5
SO43713,1,9
SO43714,1,5
SO43714,1,9
SO43715,1,5
SO43715,1,9
SO43716,1,5
SO43716,1,9
SO43718,1,5
SO43718,1,9
SO43719,1,5
SO43719,1,9
SO43720,1,5
SO43720,1,9
SO43721,1,5
SO43721,1,9
SO43722,1,5
SO43722,1,9
SO43724,1,5
SO43724,1,9
SO43725,1,5
SO43725,1,9
SO43727,1,5
SO43727,1,9
SO43728,1,5
SO43728,1,9
SO43731,1,5
SO43731,1,9
SO43733,1,5
SO43733,1,9
SO43734,1,5
SO43734,1,9
SO43735,1,5
SO43735,1,9
SO43737,1,5
SO43737,1,9
SO43738,1,5
SO43738,1,9
SO43739,1,5
SO43739,1,9
SO43740,1,5
SO43740,1,9
SO43741,1,5
SO43741,1,9
SO43742,1,5
SO43742,1,9
SO43744,1,5
SO43744,1,9
SO43745,1,5
SO43745,1,9
SO43746,1,5
SO43746,1,9
SO43747,1,5
SO43747,1,9
SO43748,1,5
SO43748,1,9
SO43749,1,5
SO43749,1,9
SO43750,1,5
SO43750,1,9
SO43751,1,5
SO43751,1,9
SO43752,1,5
SO43752,1,9
SO43753,1,5
SO43753,1,9
SO43754,1,5
SO43754,1,9
SO43755,1,5
SO43755,1,9
SO43758,1,5
SO43758,1,9
SO43759,1,5
SO43759,1,9
SO43760,1,5
SO43760,1,9
SO43761,1,5
SO43761,1,9
SO43762,1,5
SO43762,1,9
SO43763,1,5
SO43763,1,9
SO43764,1,5
SO43764,1,9
SO43766,1,5
SO43766,1,9
SO43768,1,5
SO43768,1,9
SO43769,1,5
SO43769,1,9
SO43770,1,5
SO43770,1,9
SO43772,1,5
SO43772,1,9
SO43773,1,5
SO43773,1,9
SO43774,1,5
SO43774,1,9
SO43776,1,5
SO43776,1,9
SO43777,1,5
SO43777,1,9
SO43780,1,5
SO43780,1,9
SO43781,1,5
SO43781,1,9
SO43782,1,5
SO43782,1,9
SO43783,1,5
SO43783,1,9
SO43784,1,5
SO43784,1,9
SO43785,1,5
SO43785,1,9
SO43786,1,5
SO43786,1,9
SO43791,1,5
SO43791,1,9
SO43792,1,5
SO43792,1,9
SO43795,1,5
SO43795,1,9
SO43797,1,5
SO43797,1,9
SO43798,1,5
SO43798,1,9
SO43799,1,5
SO43799,1,9
SO43800,1,5
SO43800,1,9
SO43801,1,5
SO43801,1,9
SO43802,1,5
SO43802,1,9
SO43803,1,5
SO43803,1,9
SO43804,1,5
SO43804,1,9
SO43806,1,5
SO43806,1,9
SO43807,1,5
SO43807,1,9
SO43808,1,5
SO43808,1,9
SO43809,1,5
SO43809,1,9
SO43812,1,5
SO43812,1,9
SO43815,1,5
SO43815,1,9
SO43816,1,5
SO43816,1,9
SO43817,1,5
SO43817,1,9
SO43818,1,5
SO43818,1,9
SO43820,1,5
SO43820,1,9
SO43821,1,5
SO43821,1,9
SO43822,1,5
SO43822,1,9
SO43825,1,5
SO43825,1,9
SO43828,1,5
SO43828,1,9
SO43829,1,5
SO43829,1,9
SO43830,1,5
SO43830,1,9
SO43832,1,5
SO43832,1,9
SO43833,1,5
SO43833,1,9
SO43838,1,5
SO43838,1,9
SO43839,1,5
SO43839,1,9
SO43841,1,5
SO43841,1,9
SO43842,1,5
SO43842,1,9
SO43918,1,5
SO43918,1,9
SO43919,1,5
SO43919,1,9
SO43920,1,5
SO43920,1,9
SO43921,1,5
SO43921,1,9
SO43922,1,5
SO43922,1,9
SO43923,1,5
SO43923,1,9
SO43924,1,5
SO43924,1,9
SO43925,1,5
SO43925,1,9
SO43927,1,5
SO43927,1,9
SO43928,1,5
SO43928,1,9
SO43930,1,5
SO43930,1,9
SO43931,1,5
SO43931,1,9
SO43932,1,5
SO43932,1,9
SO43936,1,5
SO43936,1,9
SO43937,1,5
SO43937,1,9
